frame,timestamp,mission_phase,active_zones,overall_health,mean_scout_speed,max_scout_speed,mean_node_speed,manual_mode,bias_x,bias_y,altitude
200,60.448,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
201,60.637,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
202,60.826,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
203,61.017,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
204,61.205,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
205,61.399,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
206,61.587,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
207,61.791,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
208,62.005,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
209,62.238,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
210,62.452,EXPLORE,8,1.000,0.600,0.600,0.599,0,0.00,0.00,3.00
211,62.671,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
212,63.132,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
213,63.549,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
214,63.741,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
215,64.283,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
216,64.472,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
217,64.697,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
